Main Holding Name,Main Holding Key,Holding Name,Holding Key,International Sector Key,International Sector Description,International Department Key,International Department Description,Group Class Key - Description,Class Key - Description,Brand Name
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,AIRNESS
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,126 - FEMININE HYGIENE,1262 - INTIMATE FEMININE HYGIENE PROD,CADUM
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,JEAN LOUIS DAVID
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,DONGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,DANIEL HECHTER
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,EAU JEUNE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,GLORIA VANDERBILT
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,LASCAD
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,USHUAIA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1230 - WOMEN FACIAL CARE,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1234 - MEN FACIAL CARE,MENNEN
